player_name,pitch_type,stuffGrade,nPitches
Alec Mills,CU,28.66867462930987,373
Alec Mills,FF,38.95259157168219,646
Alec Mills,SI,46.234002083836174,1267
Alec Mills,SL,38.154418774256555,384
Alek Manoah,CH,44.403555253875034,538
Alek Manoah,FF,50.960025719129625,1802
Alek Manoah,SI,49.62686687710286,1330
Alek Manoah,SL,51.312619731950036,1395
Alex Claudio,CH,41.05740943959924,282
Alex Claudio,FF,33.2975991604848,107
Alex Claudio,SI,43.62436233299693,344
Alex Claudio,SL,43.1668244500092,242
Alex Cobb,FF,42.28670628434256,79
Alex Cobb,FS,50.422633471696074,1893
Alex Cobb,KC,50.517863735765985,762
Alex Cobb,SI,47.48213682831323,2059
Alex Colome,FC,50.06425547388437,1730
Alex Colome,FF,41.34896386130429,563
Alex Faedo,CH,42.375176998922555,128
Alex Faedo,FF,45.0959292231105,501
Alex Faedo,SL,49.938884242961315,338
Alex Lange,CH,54.70114794478396,298
Alex Lange,CU,53.693646576188485,755
Alex Lange,FF,51.73196757477901,323
Alex Lange,SI,57.70327747645042,299
Alex McRae,CH,50.45703719053721,20
Alex McRae,CU,45.11051266994738,20
Alex McRae,FF,43.60973888482932,35
Alex McRae,SI,48.235794742281335,23
Alex Reyes,CH,48.31480830333192,141
Alex Reyes,CU,49.211437796615876,188
Alex Reyes,FF,57.26634696608769,601
Alex Reyes,SI,51.31443577596997,384
Alex Reyes,SL,61.07871825028639,434
Alex Vesia,CH,47.37584918724787,141
Alex Vesia,FF,61.511654510421934,1265
Alex Vesia,SL,56.415626556796475,473
Alex Wells,CH,33.00582909817704,117
Alex Wells,CU,38.29870479933779,164
Alex Wells,FF,48.48639065846168,411
Alex Wells,SL,38.37625953234591,128
Alex Wood,CH,43.22593591009616,962
Alex Wood,SI,49.34176161040242,2256
Alex Wood,SL,41.33506750228504,1621
Alex Young,CH,44.83822738014378,491
Alex Young,CU,42.22148506247473,539
Alex Young,FC,45.319503762550255,400
Alex Young,FF,36.60767944499829,313
Alex Young,SI,48.474634116916505,428
Alexis Diaz,FF,63.13914011200732,666
Alexis Diaz,SL,59.68712576852296,354
Amir Garrett,FF,48.014396598910885,851
Amir Garrett,SI,49.25021359506062,39
Amir Garrett,SL,45.33658240036357,1014
Anderson Espinoza,FF,37.100144366162844,238
Anderson Espinoza,SL,41.212939737781014,75
Anderson Severino,CH,51.45254462232234,14
Anderson Severino,CU,50.29703250418601,12
Anderson Severino,FF,45.32881133566509,79
Anderson Severino,SL,51.5215801851586,21
